Date,Recorded at,Scheduled for,Amount,Activity,Pending,Raw description,Description,Category folder,Category,Street address,City,State,Zip,Latitude,Longitude,Memo
2018/10/29,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/29,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/29,,,-5.72,Signature purchase,false,JW MARRIOTT GRAND RAPI,Starbucks,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/28,,,-24.35,Signature purchase,false,LUCYS CAFE,Lucys Cafe,Food & Drink,Restaurants,,Grand Rapids,MI,49505,42.96336,-85.66809,
2018/10/27,,,-7.92,Signature purchase,false,MCDONALD'S M2657 OF MI,McDonald's,Food & Drink,Restaurants,,Grand Rapids,MI,49505,42.96336,-85.66809,
2018/10/27,,,-5.00,Signature purchase,false,UBER TECHNOLOGIES INC,Uber,Transportation,Taxis,,San Francisco,CA,94105,37.78923,-122.3957,
2018/10/27,,,-16.52,Signature purchase,false,UBER TECHNOLOGIES INC,Uber,Transportation,Taxis,,San Francisco,CA,94105,37.78923,-122.3957,
2018/10/27,,,-2.50,Fee,false,SURCHARGE FEE,ATM Fee,Fees,ATM Fees,,,,,,,
2018/10/27,,,-40.00,Atm withdrawal,false,PLAZA TAVERN                             ATM -AT 319 N HENRY ST     MADISON   WI,Plaza Tavern ATM At,Uncategorized,Cash,,,,,,,
2018/10/26,,,-4.96,Signature purchase,false,SQ *CAFE SOCIAL,Cafe Social,Food & Drink,Fast Food,,Madison,WI,53703,43.07865,-89.37727,
2018/10/26,,,-15.89,Signature purchase,false,DRI*MICROSOFT HUP,Microsoft,Utilities,Phone,,,,,,,
2018/10/26,,,-15.89,Signature purchase,false,DRI*Microsoft HUP,Microsoft Hup,Technology,Software,,,,,,,
2018/10/26,,,-20.00,Signature purchase,false,PAYIT  *GR PARKING,City Parking Meter,Transportation,Parking & Tolls,,Kansas City,MO,64108,39.08455,-94.58296,
2018/10/26,,,-5.00,Signature purchase,false,UBER TECHNOLOGIES INC,Uber,Transportation,Taxis,,San Francisco,CA,94105,37.78923,-122.3957,
2018/10/26,,,-12.52,Signature purchase,false,SQ *CAFE SOCIAL,Cafe Social,Food & Drink,Fast Food,,Madison,WI,53703,43.07865,-89.37727,
2018/10/26,,,-20.01,Signature purchase,false,UBER TECHNOLOGIES INC,Uber,Transportation,Taxis,,San Francisco,CA,94105,37.78923,-122.3957,
2018/10/26,,,-7.00,Signature purchase,false,UBER TECHNOLOGIES INC,Uber,Transportation,Taxis,,San Francisco,CA,94105,37.78923,-122.3957,
2018/10/26,,,-39.80,Signature purchase,false,UBER TECHNOLOGIES INC,Uber,Transportation,Taxis,,San Francisco,CA,94105,37.78923,-122.3957,
2018/10/26,,,-19.50,Signature purchase,false,HODY BAR & GRILL,Hody Bar & Grill,Food & Drink,Alcohol & Bars,,Middleton,WI,53562,43.09722,-89.50429,
2018/10/26,,,-5.00,Signature purchase,false,UBER TECHNOLOGIES INC,Uber,Transportation,Taxis,,San Francisco,CA,94105,37.78923,-122.3957,
2018/10/26,,,-18.99,Signature purchase,false,UBER TECHNOLOGIES INC,Uber,Transportation,Taxis,,San Francisco,CA,94105,37.78923,-122.3957,
2018/10/25,,,-200.00,Bill payment,false,Payment to Auto Insurance,Payment to Auto Insurance,Transportation,Auto Insurance,,,,,,,
2018/10/25,,,-200.00,ACH,false,DEBIT FOR  CHASE CREDIT CRD AUTOPAY     CO REF- 000000000208310,Chase,Financial,Credit Card Payment,,,,,,,
2018/10/25,,,-15.78,Signature purchase,false,THE OLD FASHIONED,The Old Fashioned,Food & Drink,Restaurants,,Madison,WI,53703,43.07865,-89.37727,
2018/10/24,,,-9.99,Signature purchase,false,Spotify USA,Spotify,Culture,Music,,,,,,,
2018/10/23,,,-7.99,Pin purchase,false,HUDSONST1690,GRR Airport,Food & Drink,Snacks,,Grand Rapids,MI,49512,42.96336,-85.66809,
2018/10/23,,,-21.98,Signature purchase,false,PROSPECT HILL GRR,Prospect Hill Grr,Food & Drink,Restaurants,,Grand Rapids,MI,49512,42.96336,-85.66809,
2018/10/23,,,-6.88,Signature purchase,false,SQ *LANTERN COFFEE BAR,Lantern Coffee Bar,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/23,,,-3.15,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/23,,,-14.99,Pin purchase,false,GOOGLE *Google Play,Google Play Movies,Culture,Movies,,Mountain View,CA,"",37.29119,-121.89304,
2018/10/22,,,-7.00,Signature purchase,false,SQ *LYON STREET CAFE,Lyon Street Cafe,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/22,,,-5.50,Signature purchase,false,SQ *LYON STREET CAFE,Lyon Street Cafe,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/22,,,-21.15,Signature purchase,false,SUNDANCE GRILL,Sundance Grill,Food & Drink,Restaurants,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/22,,,-1.90,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/22,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/22,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/22,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/22,,,-208.80,ACH,false,DEBIT FOR  GREAT LAKES      STUDENT LN  CO REF- 0000,Great Lakes Student Loans,Education,Student Loans,,,,,,,
2018/10/22,,,-3.61,Signature purchase,false,HLU*Hulu 642201071341-U,Hulu,Utilities,Cable,,,,,,,
2018/10/21,,,-12.70,Signature purchase,false,TACO BELL #20750,Taco Bell,Food & Drink,Restaurants,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/21,,,-8.48,Signature purchase,false,GREEN WELL,Green Well,Food & Drink,Restaurants,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/19,,,-6.29,Signature purchase,false,THE BITTER END COFFEE H,The Bitter End,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/19,,,-5.49,Signature purchase,false,MCDONALD'S F6362,McDonald's,Food & Drink,Restaurants,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/19,,,-6.00,Signature purchase,false,"SQ *ROWSTER COFFEE, INC",Rowster Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/19,,,-3.15,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/19,,,-6.88,Signature purchase,false,SQ *LANTERN COFFEE BAR,Lantern Coffee Bar,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/19,,,-12.50,Signature purchase,false,SQ *LANTERN COFFEE BAR,Lantern Coffee Bar,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/19,,,-3.15,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/19,,,-500.00,Bill payment,false,Payment to Debt,Payment to Debt,Financial,Money Transfers,,,,,,,
2018/10/19,,,1855.87,ACH,false,CREDIT FOR SPECTRUM HEALTH  PR PAYMENT  CO REF- 0001-000142628,Spectrum Health,Income,Paycheck,,,,,,,
2018/10/18,,,-10.36,Signature purchase,false,THE WHEELHOUSE,The Wheelhouse,Food & Drink,Restaurants,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/18,,,-1.90,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/18,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/18,,,-11.77,Signature purchase,false,SH HOSP FOOD 25 OTTAWA,Spectrum Health,Food & Drink,Restaurants,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/18,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/18,,,-45.00,Signature purchase,false,SPECTRUM HEALTH KIOSK,Spectrum Health,Health & Medical,Doctor,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/18,,,-39.99,Signature purchase,false,HLU*Hulu 642201076263-U,Hulu,Technology,Online Services,,,,,,,
2018/10/17,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/17,,,-3.00,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/17,,,-3.44,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/17,,,-14.72,Signature purchase,false,SH HOSP FOOD 25 OTTAWA,Spectrum Health,Food & Drink,Restaurants,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/17,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/17,,,-37.19,Signature purchase,false,JETS PIZZA,Jets Pizza,Food & Drink,Restaurants,,Grand Rapids,MI,49505,42.96336,-85.66809,
2018/10/16,,,-20.00,Signature purchase,false,PAYIT  *GR PARKING,City Parking Meter,Transportation,Parking & Tolls,,Kansas City,MO,64108,39.08455,-94.58296,
2018/10/16,,,-12.00,Signature purchase,false,"CITY OF GRAND RAPIDS,MI",City Parking Ramp,Transportation,Parking & Tolls,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/16,,,-14.96,Signature purchase,false,SH HOSP FOOD 25 OTTAWA,Spectrum Health,Food & Drink,Restaurants,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/16,,,-20.00,ACH,false,DEBIT FOR  ACORNS INVESTING TRANSFER    CO REF- J08Q07,Acorns Investing Transfer,Investment,Stocks & Mutual Funds,,,,,,,
2018/10/16,,,-8.00,Signature purchase,false,NEST LABS,Nest Labs,Technology,Online Services,,Palo Alto,CA,94304,37.39782,-122.16605,
2018/10/16,,,-9.99,Pin purchase,false,GOOGLE *Google Music,Google Music,Technology,Online Services,,Mountain View,CA,"",37.29119,-121.89304,
2018/10/15,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/15,,,-3.41,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/15,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/15,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/15,,,-6.25,Signature purchase,false,"CITY OF GRAND RAPIDS,MI",City Parking Ramp,Transportation,Parking & Tolls,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/15,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/15,,,-81.59,Pin purchase,false,GOOGLE *PROJECT FI,GoogleFi,Utilities,Phone,,Mountain View,CA,"",37.29119,-121.89304,
2018/10/15,,,-365.00,ACH,false,DEBIT FOR  VENMO            PAYMENT     CO REF- 1411444426,Venmo Payment,Utilities,Water & Sewer,,,,,,,
2018/10/15,,,-12.99,Pin purchase,false,GOOGLE *Google Play,Google Play Movies,Culture,Movies,,Mountain View,CA,"",37.29119,-121.89304,
2018/10/15,,,-7.99,Pin purchase,false,GOOGLE *Google Play,Google Play Movies,Culture,Movies,,Mountain View,CA,"",37.29119,-121.89304,
2018/10/14,,,-3.79,Signature purchase,false,MCDONALD'S M6183 OF MI,McDonald's,Food & Drink,Restaurants,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/14,,,-6.30,Signature purchase,false,SQ *THAT EARLY BIRD,That Early Bird,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/14,,,-6.30,Signature purchase,false,SQ *SQUIBB COFFEE AND W,Squibb Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/14,,,-6.83,Signature purchase,false,SQ *SQUIBB COFFEE AND W,Squibb Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/14,,,-1.99,Pin purchase,false,GOOGLE *Google Storage,Google Storage,Technology,Online Services,,Mountain View,CA,"",37.29119,-121.89304,
2018/10/14,,,-5.77,Signature purchase,false,SQ *SQUIBB COFFEE AND W,Squibb Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/14,,,-15.90,Signature purchase,false,SQ *SQUIBB COFFEE AND W,Squibb Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/14,,,-23.23,Signature purchase,false,LOGANS ALLEY LLC,Logans Alley,Food & Drink,Restaurants,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/14,,,-5.50,Signature purchase,false,SQ *LYON STREET CAFE,Lyon Street Cafe,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/13,,,-6.00,Signature purchase,false,SQ *LYON STREET CAFE,Lyon Street Cafe,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/13,,,-14.59,Signature purchase,false,LUCYS CAFE,Lucys Cafe,Food & Drink,Restaurants,,Grand Rapids,MI,49505,42.96336,-85.66809,
2018/10/13,,,-49.05,Signature purchase,false,CELEBRATION CINE,Celebration Cinema,Culture,Movies,,Grand Rapids,MI,49525,43.0222,-85.61168,
2018/10/13,,,-5.29,Signature purchase,false,LUCYS CAFE,Lucys Cafe,Food & Drink,Restaurants,,Grand Rapids,MI,49505,42.96336,-85.66809,
2018/10/13,,,-4.00,Signature purchase,false,THE FULTON STREET PUB &,The Fulton Street Pub,Food & Drink,Alcohol & Bars,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/13,,,-4.00,Signature purchase,false,THE FULTON STREET PUB &,The Fulton Street Pub,Food & Drink,Alcohol & Bars,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/13,,,-6.29,Signature purchase,false,THE BITTER END COFFEE H,The Bitter End,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/13,,,-6.56,Signature purchase,false,MCDONALD'S F6362,McDonald's,Food & Drink,Restaurants,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/12,,,-36.50,Pin purchase,false,SPEEDWAY 02285 LEO,Speedway,Transportation,Gas,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/12,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NUT,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/12,,,-8.12,Signature purchase,false,SQ *LANTERN COFFEE BAR,Lantern Coffee Bar,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/12,,,-6.88,Signature purchase,false,SQ *LANTERN COFFEE BAR,Lantern Coffee Bar,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/12,,,-6.00,Signature purchase,false,"CITY OF GRAND RAPIDS,M",City Parking Ramp,Transportation,Parking & Tolls,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/11,,,-18.50,Signature purchase,false,OSCAR'S BISTRO,Oscar's Bistro,Food & Drink,Alcohol & Bars,,Grand Rapids,MI,49525,43.0222,-85.61168,
2018/10/11,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/11,,,-10.38,Signature purchase,false,SQ *ELECTRIC HERO GRAND,Electric Hero,Food & Drink,Restaurants,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/11,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/11,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/11,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/10,,,-9.07,Signature purchase,false,MCDONALD'S M7693 OF MI,McDonald's,Food & Drink,Restaurants,,Grand Rapids,MI,49505,42.96336,-85.66809,
2018/10/10,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/10,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/10,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/10,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/10,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/10,,,-4.99,Pin purchase,false,GOOGLE *Google Play,Google Play Movies,Culture,Movies,,Mountain View,CA,"",37.29119,-121.89304,
2018/10/10,,,-14.49,Signature purchase,false,GOOGLE *Google Play,Google Play Movies,Culture,Movies,,,,,,,
2018/10/09,,,-6.00,Signature purchase,false,"SQ *ROWSTER COFFEE, INC",Rowster Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/09,,,-3.15,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/09,,,-5.49,Signature purchase,false,MCDONALD'S F6362,McDonald's,Food & Drink,Restaurants,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/09,,,-27.56,Signature purchase,false,BRINDLE AND BLONDE,Brindle and Blonde,Personal,Hair,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/09,,,-45.00,Signature purchase,false,SPECTRUM HEALTH KIOSK,Spectrum Health,Health & Medical,Doctor,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/09,,,-7.53,Signature purchase,false,STARBUCKS STORE 02661,Starbucks,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49525,43.0222,-85.61168,
2018/10/09,,,-50.00,ACH,false,DEBIT FOR  VENMO            PAYMENT     CO REF- 1400113919,Venmo Payment,Financial,Money Transfers,,,,,,,
2018/10/08,,,-128.82,Signature purchase,false,SPECTRUM HEALTH SYSTEM,Spectrum Health,Food & Drink,Restaurants,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/08,,,-58.00,Signature purchase,false,SPORT & SOCIAL CLUB,Sport & Social Club,Sports & Fitness,Memberships,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/08,,,-3.65,Signature purchase,false,City of Grand Rapids Pr,City Parking Ramp,Transportation,Parking & Tolls,,,,,,,
2018/10/08,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NU,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/08,,,-17.72,Signature purchase,false,SUNDANCE GRILL,Sundance Grill,Food & Drink,Restaurants,,Grand Rapids,MI,49503,42.96336,-85.66809,
2018/10/07,,,-11.37,Pin purchase,false,SPEEDWAY 08887 KEN,Speedway,Food & Drink,Snacks,,Kentwood,MI,49512,42.88483,-85.59273,
2018/10/07,,,-24.23,Signature purchase,false,CULVER'S OF GRAND,Culver's of Grand,Food & Drink,Restaurants,,Grand Rapids,MI,49546,42.9278,-85.54582,
2018/10/07,,,-20.90,Signature purchase,false,THE MONARCH CLUB,The Monarch Club,Food & Drink,Restaurants,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/06,,,-17.48,Signature purchase,false,SQ *THAT EARLY BIRD,That Early Bird,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49506,42.94573,-85.61899,
2018/10/06,,,-8.10,Signature purchase,false,CRESTON BREWERY,Creston Brewery,Food & Drink,Alcohol & Bars,,Grand Rapids,MI,49505,42.96336,-85.66809,
2018/10/05,,,-9.00,Signature purchase,false,OSCAR'S BISTRO,Oscar's Bistro,Food & Drink,Alcohol & Bars,,Grand Rapids,MI,49525,43.0222,-85.61168,
2018/10/05,,,-9.00,Signature purchase,false,OSCAR'S BISTRO,Oscar's Bistro,Food & Drink,Alcohol & Bars,,Grand Rapids,MI,49525,43.0222,-85.61168,
2018/10/05,,,-4.00,Signature purchase,false,OSCAR'S BISTRO,Oscar's Bistro,Food & Drink,Alcohol & Bars,,Grand Rapids,MI,49525,43.0222,-85.61168,
2018/10/05,,,-16.35,Signature purchase,false,CELEBRATION CINE,Celebration Cinema,Culture,Movies,,Grand Rapids,MI,49525,43.0222,-85.61168,
2018/10/05,,,-42.00,Signature purchase,false,SQ *FERRIS COFFEE & NUT,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/05,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NUT,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/05,,,-5.75,Signature purchase,false,SQ *FERRIS COFFEE & NUT,Ferris Coffee,Food & Drink,Coffee & Tea,,Grand Rapids,MI,49504,42.96336,-85.66809,
2018/10/05,,,-6.66,Signature purchase,false,SQ *GUS?S ORIGINAL,Gus S Original,Food & Drink,Restaurants,,Grand Rapids,MI,49525,43.0222,-85.61168,
2018/10/05,,,-8.53,Pin purchase,false,MEIJER INC 158 1997 EAST,Meijer,Food & Drink,Groceries,,Grand Rapids,MI,"",42.96695,-85.62612,
2018/10/05,,,1853.42,ACH,false,CREDIT FOR SPECTRUM HEALTH  PR PAYMENT  CO REF- 0001-000142628,Spectrum Health,Income,Paycheck,,,,,,,
